T/R 	1         	2         	3         	4         	5         	6         	7         	8         	9         	10        	11        	12        	13        	14        	15        	16        	17        	18        	19        	20        	21        	22        	23        	24
36  	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000617
37  	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000620
38  	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000623
39  	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000626
40  	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000630
41  	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000633
42  	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000636
43  	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000640
44  	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000643
45  	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000647
46  	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000651
47  	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000655
48  	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000660
49  	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000665
50  	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000670
51  	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000675
52  	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000681
53  	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000687
54  	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000693
55  	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000700
56  	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000707
57  	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000715
58  	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000722
59  	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000731
60  	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000740
61  	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000749
62  	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000758
63  	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000768
64  	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000779
65  	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000790
66  	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000801
67  	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000813
68  	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000000	    0.0000000825
